"2021","name"
"7734614","Cairo"
"3811516","Alexandria"
"2443203","Giza"
"538378","Port Said"
"488125","Suez"
"431052","Al Mahallah al Kubra"
"422407","Luxor"
"420585","Asyut"
"420195","Al Mansurah"
"404901","Tanda"
"306393","Al Fayyum"
"285097","Zagazig"
"284813","Ismailia"
"267370","Kafr ad Dawwar"
"241261","Aswan"
"235362","Qina"
"230000","Halwan"
"227943","Damanhur"
"227150","Al Minya"
"210678","Idku"
"209419","Sohag"
"200000","New Cairo"
"189624","Bani Suwayf"
"186345","Shibin al Kawm"
"167029","Banha"
"157737","Talkha"
"143970","Kafr ash Shaykh"
"142504","Mallawi"
"137542","Dikirnis"
"133000","Idfu"
"129211","Bilbays"
"128855","Arish"
"128250","Jirja"
"106841","Al Hawamidiyah"
"103596","Bilqas"
"102037","Disuq"
"100684","Abu Kabir"
"100495","Qalyub"
"99446","Akhmim"
"99357","Al Matariyah"
"95622","Hurghada"
"92667","Zefta"
"90591","Tahta"
"90465","Samalut"
"86608","Bush"
"85352","Hawsh `Isa"
"83651","Munuf"
"82507","Ashmun"
"78744","Manfalut"
"76839","Damietta"
"73725","Kafr az Zayyat"
"71257","Abu Tij"
"69335","Isna"
"68749","Abnub"
"68394","Al Qusiyah"
"68381","Al Jammaliyah"
"67788","Dayrut"
"67700","Al Kharijah"
"67599","Toukh"
"67486","Al Manzalah"
"64481","Rosetta"
"63862","Awsim"
"63793","Al Fashn"
"63310","Fuwwah"
"62821","Faqus"
"62434","Al Khankah"
"62042","Mersa Matruh"
"61730","Al Qurayn"
"61182","Abu Qurqas"
"61134","Al Manshah"
"60181","Kousa"
"59787","Kawm Umbu"
"58284","Faraskur"
"58153","Bani Mazar"
"56951","Minyat an Nasr"
"56872","Shibin al Qanatir"
"56302","Al Qanatir al Khayriyah"
"55523","Basyun"
"54980","Samannud"
"54676","Shirbin"
"54197","Dishna"
"53851","Farshut"
"51841","Diyarb Najm"
"51569","At Tall al Kabir"
"51498","Tala"
"51173","Ibshaway"
"48801","Al Balyana"
"48060","Ash Shuhada'"
"47998","Sidi Salim"
"47821","Juhaynah"
"46866","Tamiyah"
"45798","Al Hamul"
"45798","Mashtul as Suq"
"45552","Ain Sukhna"
"45269","Itsa"
"45215","Matay"
"44132","Al Badari"
"43432","Hihya"
"42912","Al Qanayat"
"42708","Quwaysina"
"41930","Madinat Sittah Uktubar"
"41302","Abu al Matamir"
"41184","Naja' Hammadi"
"40609","Dayr Mawas"
"40386","Ad Dilinjat"
"40010","Az Zarqa"
"38213","As Saff"
"37953","`Izbat al Burj"
"37453","Al Wasitah"
"37260","Sumusta as Sultani"
"36751","Kawm Hamadah"
"36633","Al Bajur"
"34967","Kafr Saqr"
"34796","Al `Ayyat"
"34692","Aja"
"34638","Al Ibrahimiyah"
"32944","Safaga"
"32000","Ras Gharib"
"24653","Al Qusayr"
"23842","Qutur"
"20000","Al Bawiti"
"15000","El Gouna"
"14972","El-Tor"
"12000","Sharm el-Sheikh"
"10000","Marsa Alam"
"8000","Dahab"
"7400","Al `Alamayn"
"7000","Siwa Oasis"